Code;Location;Registered;Envelopes;Valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
552267;Senička;285;209;205;55;0;0;0;0;24;26;1;24;0;0;0;0;0;0;4;1;1;0;32;3;17;17;0;0
552151;Skrbeň;932;573;569;143;0;1;0;0;51;49;0;47;1;5;2;1;2;4;32;2;3;9;93;32;55;37;0;0
505111;Slatinice;1382;894;841;294;3;2;1;1;79;70;1;57;3;5;0;1;3;0;28;7;14;19;110;28;43;71;0;1
552194;Slavětín;158;87;87;25;0;0;0;0;7;17;1;4;0;2;0;0;3;1;2;0;0;0;8;1;10;6;0;0
569054;Strukov;127;72;71;11;4;0;0;0;8;18;0;5;1;1;0;1;0;0;0;0;0;1;9;0;7;5;0;0
547018;Střeň;480;313;313;77;0;0;0;0;39;34;0;23;1;3;0;0;0;1;12;0;3;4;43;3;27;43;0;0
569771;Suchonice;145;99;99;21;0;0;0;0;15;20;0;5;2;1;0;0;1;0;5;0;0;1;11;7;4;6;0;0
552429;Svésedlice;162;100;99;22;0;0;0;0;10;15;0;3;0;1;0;0;0;0;1;0;0;0;26;2;10;9;0;0
552011;Štarnov;583;390;386;131;1;1;0;0;26;38;0;23;5;1;1;0;1;0;16;3;10;1;54;9;32;33;0;0
505161;Štěpánov;2839;1707;1691;546;3;3;0;6;152;129;11;116;18;12;0;3;4;8;54;6;15;20;247;44;160;125;0;9
505188;Šternberk;10931;6391;6340;2013;5;7;8;12;425;372;5;698;38;32;6;6;16;8;176;9;79;60;1090;202;586;481;3;3
505218;Šumvald;1380;723;717;250;0;1;0;1;65;39;1;67;1;7;2;0;1;0;38;0;11;5;123;18;36;51;0;0
505269;Těšetice;1021;634;628;181;0;0;0;0;29;86;0;72;1;2;2;0;3;2;35;3;14;5;91;19;52;31;0;0
552089;Tovéř;483;339;334;109;0;0;0;0;18;25;0;40;6;0;0;1;0;0;18;4;2;7;26;23;42;11;0;2
505293;Troubelice;1515;937;933;265;4;1;2;4;88;91;0;64;2;7;1;1;2;1;59;5;7;5;133;35;79;73;3;1
505366;Tršice;1325;811;808;291;0;0;0;2;77;56;1;62;4;8;1;0;0;0;26;1;16;4;95;22;80;61;1;0
505501;Újezd;1163;653;652;249;2;0;1;1;62;43;4;39;9;6;0;2;3;1;19;3;6;3;90;8;47;54;0;0
505587;Uničov;9410;5331;5298;1769;4;9;3;8;523;272;12;536;28;47;6;2;13;6;164;14;47;49;605;188;548;441;0;4
552364;Ústín;336;224;221;50;1;0;0;0;12;26;0;30;3;3;2;0;2;0;8;0;1;2;39;8;17;17;0;0
505609;Velká Bystřice;2588;1698;1684;501;3;4;2;11;116;169;3;195;10;11;3;1;6;6;68;10;20;20;175;79;163;105;1;2
505650;Velký Týnec;2193;1437;1423;422;6;0;0;2;81;140;6;110;10;11;1;1;2;8;51;6;31;18;203;50;157;107;0;0
505668;Velký Újezd;1042;629;624;229;1;1;0;1;36;42;1;61;0;7;3;1;6;0;23;1;3;7;76;27;50;48;0;0
552119;Věrovany;1123;644;638;217;2;1;2;1;50;88;0;54;3;0;0;2;4;0;18;1;6;9;83;12;44;40;1;0
568961;Vilémov;351;235;235;57;0;0;0;1;19;38;0;15;3;1;2;0;2;1;16;0;7;8;30;3;3;29;0;0
552399;Želechovice;184;129;128;41;1;0;0;0;3;22;0;7;2;0;0;0;0;3;3;0;1;1;16;2;14;12;0;0
505862;Žerotín;376;220;219;40;0;0;0;0;14;52;0;20;3;4;0;1;1;1;6;0;2;1;27;5;21;21;0;0
